current_location	address	registration	user_id	mail	residence	name	job	username	company	blood_group	ssn	station_ID
(Decimal('65.556550'), Decimal('-60.610902'))	"Harold-Butte-Allee 9
18411 Beilngries"	2019/04/01	931	peter10@aol.de		Univ.Prof. Eckard Steckel B.A.		ingehesse	Koch	O+	591-18-9276	312
(Decimal('57.1725775'), Decimal('-98.617487'))		2024-12-11	2084	joao-felipesousa@gmail.com		Otávio Melo		eda-cunha	da Rosa - ME	O+	49152637034	406
(Decimal('-64.921651'), Decimal('-71.047987'))	"7510 Kevin Underpass Apt. 902
Curtismouth, GA 86866"	2024/08/09	1656	anthony59@gmail.com		Jamie Chen	Clothing/textile technologist	mvillegas	Dennis-Mclean	O-	460-37-9881	511
(Decimal('44.441569'), Decimal('-68.823579'))	"Praça Ravi Lucca Azevedo, 1
Anchieta
97924-627 Alves do Sul / AM"	2018-11-12	1311	cunhaliam@uol.com.br		Maria Helena Cunha	Timoneiro	oporto	Mendes	B+	19708463566	517
	"Uwe-Lehmann-Weg 25
46410 Herzberg"	2019-07-05	1364	troehrdanz@gmx.de		Gabor Jäntsch		anny51	Trapp	B-	312-86-8508	199
(Decimal('3.824091'), Decimal('-117.353114'))	"Holstenstr. 801
53706 Worbis"	04/14/2024, 00:00:00	1006	hlachmann@hotmail.de		Irmingard Müller		richardniemeier	Klingelhöfer Ullmann GmbH & Co. OHG	B-	849-60-9106	688
(Decimal('82.1186705'), Decimal('-38.373048'))	鹿児島県新島村太田ヶ谷14丁目3番18号 千束アーバン055	06/02/2025, 00:00:00	1749	wtakahashi@gmail.com		林 拓真		nakagawasotaro	株式会社池田印刷	AB+	268-04-2730	375
(Decimal('-79.1587195'), Decimal('131.489125'))	"Contrada Corradi, 90
10064, Riva Di Pinerolo (TO)"	2018-12-21	1825	zungaretti@libero.it		Rolando Tremonti		miloraurica	Spinelli s.r.l.	O+	LNENCL28T69G575S	632
(Decimal('-44.685036'), Decimal('83.499776'))	青森県川崎市幸区白金台30丁目4番14号 クレスト西小来川991	08/24/2024, 00:00:00	395	taro07@yahoo.com		佐藤 翔太		yaoki	合同会社池田印刷	AB-	784-53-1515	483
(Decimal('21.199050'), Decimal('-57.699125'))		15 Sep 2023	1603	goranhendriks@yahoo.de		Sandro Ullmann		bolnbachmarco	Kobelt Reinhardt KG	AB-	591-31-8932	676
	"Vicolo Druso, 2
06129, Perugia (PG)"	2023-07-07	1151	sattaamanda@libero.it		Serafina Ricci		ottaviocaboto	Bragadin SPA	O+	LRNMLS96R26F871C	135
(Decimal('88.897268'), Decimal('118.302107'))	"Largo Marques, 52
Aarão Reis
78547228 Campos / DF"	08/20/2021, 00:00:00	423	zoemoraes@gmail.com		Maria Julia Borges		maria-eduardacasa-grande	Sá	O-	16203859451	88
(Decimal('-15.569419'), Decimal('-49.995974'))	"Viale Ariasso, 2 Appartamento 2
60010, Pianello Di Ostra (AN)"	2018/12/20	71	temistocle24@poste.it		Fiamma Iannelli		sonia99	Foà-Trincavelli Group	B+	NBLBRC88B10C313E	124
	"Zobelweg 9/7
14409 Darmstadt"	2023/10/16	2041	wilmssandy@gmail.com		Lore Dörschner		schoenlandkonrad	Nohlmans AG	AB-	768-20-6412	282
(Decimal('59.215966'), Decimal('8.563262'))	広島県袖ケ浦市浅草1丁目19番13号	07/02/2025, 00:00:00	73	yyamashita@yahoo.com		井上 千代	花火師	kimurayasuhiro	福田ガス合同会社	O-	479-28-5825	10
(Decimal('14.508230'), Decimal('132.259293'))	徳島県台東区西神田18丁目25番3号 コーポ卯の里289	08 May 2024	978	hiroshi25@hotmail.com		加藤 直樹	裁判官	oinoue	合同会社遠藤情報	AB+	114-78-9550	49
(Decimal('79.218483'), Decimal('152.701909'))		06/11/2025, 00:00:00	856	kaiquelopes@bol.com.br		Alice Barros	Aeronauta	piresanna-liz	Nunes da Rosa - ME	A-	23180654970	422
(Decimal('15.6044785'), Decimal('133.289834'))	"Hofmannring 22
03065 Calw"	2019-11-23	252	ktlustek@gmx.de		Otmar Schaaf		genovevaseifert	Junken KG	AB+	639-62-1237	519
(Decimal('-2.8734405'), Decimal('-34.180539'))		2023-02-16	1806	iwinkler@gmx.de		Hans Josef Wilms B.Sc.	Augenoptiker	alexandrosbuchholz	Wulf AG & Co. OHG	AB-	770-45-4893	294
(Decimal('77.915114'), Decimal('-18.155359'))	"Lorchallee 18-93
39246 Suhl"	2023/09/18	300	idowerg@aol.de		Hanne-Lore Jacobi Jäckel	Ausbaufacharbeiter	tkuehnert	Drewes Hiller KG	B-	218-87-0027	667
(Decimal('-41.2557195'), Decimal('-66.407039'))	"Bernd-Kambs-Platz 7059
41635 Sankt Goar"	13 Feb 2024	1623	vitus74@hotmail.de		Fridolin Ackermann		sspeer	Säuberlich	AB+	032-63-6859	257
(Decimal('-4.3073975'), Decimal('116.768965'))	"Piazza Raimondo, 0
89844, Comerconi (VV)"	11/08/2023, 00:00:00	1017	landopavanello@gmail.com		Lilla Turci		evangelista53	Pagnotto, Trapani e Pertini e figli	A-	SLRPNI41D10E437W	273
(Decimal('35.8716715'), Decimal('-146.948279'))	"Contrada Sagredo, 5 Piano 1
73036, Muro Leccese (LE)"	2025/01/21	286	rluna@hotmail.com		Bartolomeo Cammarata		vbossi	Antonacci-Puglisi Group	A-	NCCLSI58L16I825L	208
(Decimal('73.806501'), Decimal('43.558978'))	"Praça de Vargas, 29
Aguas Claras
57848-407 Fogaça de Dias / SP"	12/28/2021, 00:00:00	777	araujoryan@bol.com.br		Isabel da Cruz		aparecidajoao-pedro	Fogaça	AB+	23159786455	226
(Decimal('-67.434475'), Decimal('-130.743913'))	大阪府港区前弥六南町19丁目20番9号 ハイツ中三依162	2019-02-23	319	shota96@yahoo.com		松本 淳		lwatanabe	株式会社佐藤運輸	A-	482-67-5322	447
(Decimal('70.4740795'), Decimal('106.361811'))	"Vale Lima, 59
Planalto
97964-641 Lopes / SC"	12/02/2024, 00:00:00	1883	thiagoguerra@bol.com.br		Francisco Porto		ysilveira	Souza	O-	89230746169	50
(Decimal('27.3101455'), Decimal('2.004327'))	山梨県利島村方京26丁目5番8号	2021-03-02	1488	satoryohei@yahoo.com		林 治		yoichi81	中川建設有限会社	O-	072-31-0330	496
(Decimal('67.025144'), Decimal('35.413315'))	"PSC 8793, Box 6393
APO AA 40583"	27 Oct 2021	1723	brittneycross@gmail.com		James Ortega		nguyenkyle	Chan, Jones and Carter	O+	685-32-6380	508
(Decimal('-56.576520'), Decimal('17.382100'))	"Viela Sá, 84
Vila Tirol
14491-491 Nunes / ES"	2021-07-04	1411	gabrielly03@gmail.com		Srta. Bruna da Luz		agatha03	Pereira Leão - ME	AB+	74351608226	567
(Decimal('32.948119'), Decimal('78.863361'))	"090 Phillips Spurs Apt. 799
Mooreshire, MA 44363"	11/03/2020, 00:00:00	519	poolecharles@hotmail.com		Michael Davis		johnsongregory	Johnson Inc	AB+	742-64-6207	132
(Decimal('-57.381354'), Decimal('116.607488'))	岩手県鎌ケ谷市北青山42丁目8番6号 シャルム一ツ橋638	2023/12/27	226	hanakoito@hotmail.com		田中 翼		okimura	山本建設株式会社	A-	102-35-3503	108
(Decimal('-17.0564425'), Decimal('173.651143'))	"Wirthstr. 43/57
40977 Büsingen am Hochrhein"	05 Oct 2018	1474	tuelayullmann@aol.de		Andrea Löwer		filippo46	Carsten	O-	154-17-2352	440
(Decimal('-71.7397405'), Decimal('-123.591090'))		07/30/2025, 00:00:00	1318	peter-michael25@web.de		Heinz-Peter Hermighausen		hputz	Hartmann e.V.	AB-	603-16-0661	630
(Decimal('-54.443273'), Decimal('88.647184'))	"57375 Hughes Highway Apt. 395
Alexstad, NC 78689"	2025/04/20	491	dmontoya@yahoo.com		Matthew Edwards	Pharmacologist	amanda36	Schwartz, Crawford and Macdonald	O+	678-99-2773	385
(Decimal('-23.8152695'), Decimal('97.588675'))	広島県足立区隼町10丁目21番19号 港南コーポ985	2020/06/28	1296	uyoshida@yahoo.com		佐藤 直子	寿司職人	sotaro72	有限会社木村銀行	B-	767-75-4750	204
(Decimal('-89.335651'), Decimal('83.682972'))		2022-11-19	1646	momoko50@hotmail.com		井上 拓真		wwatanabe	合同会社小林通信	B-	800-16-5299	619
(Decimal('-24.6240205'), Decimal('176.942005'))	"Estação Ana Carolina Pastor, 6
Vila São Geraldo
93408549 Viana Verde / RS"	01/27/2019, 00:00:00	232	noah55@yahoo.com.br		Nicolas Campos	Embalador	mendesarthur-miguel	da Rocha	AB+	84239576164	471
(Decimal('-79.3836545'), Decimal('-137.972450'))	"Filiz-Radisch-Ring 6/8
76464 Sangerhausen"	2018/11/14	137	baumheidelore@hotmail.de		Anette Juncken		qrosemann	Kohl	B+	736-77-4927	413
(Decimal('67.848196'), Decimal('-31.400075'))	"Borgo Galiazzo, 4
11026, Pont Saint Martin (AO)"	2023/03/28	1878	umorosini@gmail.com		Giada Aldobrandi		antonello72	Conti e figli	B-	BTOJCP08M47D203S	523
(Decimal('-71.234006'), Decimal('59.910523'))		2024/04/16	1165	linasanti@yahoo.com		Dott. Ludovico Trincavelli		ubaldo45	Ughi-Cianciolo s.r.l.	B+	PNNNCL16B57I824B	98
(Decimal('-57.379952'), Decimal('74.080239'))	"Piazza Maria, 3
12081, Beinette (CN)"	27 Feb 2024	867	endrizzisylvia@vodafone.it		Sig.ra Silvia Farnese	English as a foreign language teacher	visintiniluigina	Gentili SPA	AB-	DLLGMM66M27L788P	5
(Decimal('-39.092101'), Decimal('-34.264585'))	"Lago Sá, 47
Vila Independencia 3ª Seção
53371-504 Pacheco do Galho / CE"	05/27/2022, 00:00:00	1301	nicole84@gmail.com		Antony Sousa	Contra regra	pachecofernando	da Rocha Cirino - ME	B+	08532796400	562
(Decimal('49.945051'), Decimal('-173.930411'))	"Incrocio Giannuzzi, 28
71038, Pietramontecorvino (FG)"	2020/10/17	993	boccaccioarnulfo@tin.it		Massimiliano Gaggini	Youth worker	antonino86	Bulzoni-Moresi s.r.l.	AB-	CSRRNF55M42C619B	13
(Decimal('-76.2362265'), Decimal('114.450903'))	沖縄県北区鳥越10丁目26番4号 戸山ハイツ552	2024/02/14	1844	yamamotoshohei@gmail.com		近藤 真綾		xmori	有限会社佐々木情報	O+	610-09-7593	183
(Decimal('-32.8078725'), Decimal('-169.102615'))	"Condomínio Moreira, 4
Conjunto Novo Dom Bosco
99224-281 Machado das Pedras / AP"	07 Jul 2024	274	diogojesus@hotmail.com		Rafaela Abreu	Corretor da bolsa de valores	enrico99	Guerra	A+	09731258612	625
(Decimal('-53.0101985'), Decimal('3.821093'))	"Schulzring 321
55965 Lüdenscheid"	2018/11/02	145	marian63@gmail.com		Ann-Kathrin Schulz		mato40	Löwer KGaA	A-	439-68-3998	109
(Decimal('-16.302869'), Decimal('-169.689889'))	"Schenkring 29
87942 Bayreuth"	05/25/2020, 00:00:00	1752	jorgezobel@gmail.com		Siegward Boucsein	Krankenschwester	kharloff	Becker GmbH	AB+	498-93-1464	504
(Decimal('-46.8374405'), Decimal('-63.532371'))	"Praça Rocha, 821
Petropolis
74551267 Fonseca de Alves / AM"	29 Dec 2019	1840	fogacamaya@yahoo.com.br		Luísa Freitas	Personal stylist	davi-lucasmachado	Pereira S.A.	AB-	03871962503	425
(Decimal('-38.150473'), Decimal('-119.612700'))	"Vicolo Cortese, 9
24049, Verdello (BG)"	05/23/2020, 00:00:00	407	virginiabaroffio@tim.it		Germana Carocci-Ammaniti		lazzaro55	Dossi, Trevisan e Bruscantini Group	A+	MNTDRA37D41C529P	521
(Decimal('13.7552595'), Decimal('-172.046235'))	群馬県足立区三筋2丁目9番13号	2020/10/10	305	itoryosuke@hotmail.com		西村 京助		miurakyosuke	合同会社佐々木情報	O-	209-63-3232	273
(Decimal('11.2241765'), Decimal('-105.744655'))	"Setor de Viana, 89
Vila De Sá
75387-542 Leão / RJ"	19 Sep 2019	532	ybarbosa@yahoo.com.br		Luiz Felipe Nunes	Produtor de eventos	oliverduarte	Vargas	AB+	82164950305	718
(Decimal('-21.306291'), Decimal('-62.141190'))	"Römerallee 2/1
15575 Parsberg"	16 Jun 2020	1486	karl-heinricheigenwillig@gmx.de		Prof. Ivan Ebert B.Sc.		kensymato	Kühnert AG & Co. KGaA	A+	122-88-1243	576
(Decimal('-23.988917'), Decimal('-161.476135'))	"Stretto Moneta, 10 Appartamento 39
33020, Rigolato (UD)"	19 May 2019	1265	mseddio@live.com		Antonietta Colletti		versaceantonella	Durante, Interiano e Miniati Group	A+	BLSCRT06T20I264A	162
(Decimal('15.7977995'), Decimal('153.495838'))	"Philip-Scheuermann-Allee 68/79
71294 Garmisch-Partenkirchen"	2021-08-23	53	waltraudholzapfel@yahoo.de		Thoralf Heuser		pkraus	Nerger	O-	479-99-4470	173
(Decimal('11.112578'), Decimal('-126.334878'))	"Contrada Clelia, 22 Appartamento 5
71011, Apricena (FG)"	2025-02-28	1084	tina97@tiscali.it		Erika Saraceno-Benedetti		chiaramontemichela	Gramsci e figli	A-	MRCGNR61C41E888C	386
(Decimal('62.3795415'), Decimal('105.802958'))	"Praia da Mota, 731
Santa Branca
06817978 da Luz da Serra / MG"	2019/02/03	975	brunamendonca@ig.com.br		Felipe Martins		emendes	Moreira	A+	68279315446	536
(Decimal('7.2174055'), Decimal('-84.833379'))		07/10/2020, 00:00:00	1136	tscaduto@libero.it		Paride Bajamonti		sgrisoni	Bottigliero-Farinelli e figli	O+	PRTFBA60T63L515P	144
(Decimal('67.3765065'), Decimal('-81.255265'))	"Contrada Malatesta, 6
21020, Mercallo (VA)"	11/16/2018, 00:00:00	361	ludovisimichelotto@tele2.it		Baccio Druso-Castellitto		evangelistazanichelli	Briccialdi, Nicoletti e Michelangeli Group	A-	MRTTZN24B60G095T	297
(Decimal('-42.288250'), Decimal('170.536853'))	"Schmidtstr. 8012
26386 Hechingen"	05/21/2024, 00:00:00	1473	georgiosatzler@aol.de		Reinhold Davids B.Eng.	Informatiker	paula06	Stahr	AB-	294-73-5421	462
(Decimal('-63.0835075'), Decimal('22.045061'))		2022/02/01	2136	cdelacruz@yahoo.com		Perry Roberts	Scientist, product/process development	melissapayne	Bennett, Garrett and Graves	AB+	298-60-2627	498
(Decimal('-50.792011'), Decimal('137.625572'))	"Canale Napoleone, 769 Piano 2
84024, Contursi Terme (SA)"	2019/10/03	1868	cristinatosi@libero.it		Victoria Faugno-Cavanna		giorgia37	Dossetti Group	A+	BRNMTT47A49B922X	95
(Decimal('-53.6014785'), Decimal('37.903830'))	"3275 Kathy Groves
Lisashire, SC 62432"	2021-08-29	1093	johnsonbrenda@gmail.com		Michael Cervantes		wgomez	Neal, Hogan and Morrison	O+	076-90-6983	112
(Decimal('-29.1864425'), Decimal('-122.924558'))	京都府西多摩郡日の出町三ノ輪42丁目17番9号 クレスト中川崎207	2019/06/19	1075	fyamamoto@gmail.com		坂本 幹	作曲家	aokiyuta	井上印刷合同会社	A-	897-72-6125	386
(Decimal('39.450870'), Decimal('-39.818223'))	"Rotonda Umberto, 13 Appartamento 2
10062, Luserna San Giovanni (TO)"	22 Feb 2025	696	edoardo84@tele2.it		Ronaldo Renault		nino90	Dallara-Federico s.r.l.	B+	BCLRNT95D51I869Y	365
(Decimal('-74.677164'), Decimal('158.542760'))	"98960 Christopher Drives Apt. 360
West Kyliestad, OR 97954"	12/31/2023, 00:00:00	270	emily42@yahoo.com		Benjamin Moreno		nathaniel37	Wagner-Hernandez	O+	217-68-0449	98
(Decimal('-50.022087'), Decimal('35.105685'))	"Arthur-Schaaf-Weg 390
27128 Halberstadt"	2019/12/01	468	jaehnhalina@gmail.com		Gerolf Wernecke-Ditschlerin		saeuberlichkazim	van der Dussen AG	O+	431-20-4523	611
(Decimal('1.943945'), Decimal('-71.739408'))	長野県西多摩郡日の出町外国府間35丁目27番2号	2022/07/22	2051	isato@yahoo.com		中村 陽一		itohanako	加藤通信有限会社	B-	272-47-6989	192
(Decimal('52.9254285'), Decimal('-52.036960'))	大分県三宅島三宅村木立23丁目6番6号	08/18/2020, 00:00:00	837	watanabenaoko@yahoo.com		山崎 香織		satoyui	後藤情報有限会社	O+	386-36-3832	316
(Decimal('-88.332137'), Decimal('-120.524569'))	千葉県富津市横林7丁目26番7号	24 Dec 2022	1131	uyamamoto@hotmail.com		石井 直人		otasayuri	石井銀行有限会社	A-	653-38-5381	587
(Decimal('-65.696823'), Decimal('-20.301683'))	"87639 Joseph Motorway Suite 083
Lawrenceland, VA 54725"	15 Apr 2024	125	brandiphillips@yahoo.com		Katie Burns		paul15	Alvarez-Ho	B-	478-64-9119	18
(Decimal('-14.748081'), Decimal('138.565412'))	"Ladeira Rodrigo Cavalcante, 804
Goiania
21434270 Dias do Sul / RR"	2020/08/19	1304	cavalcantimaria-isis@ig.com.br		Rael Novaes		peixotovinicius	Lopes	B-	91430856289	512
	愛媛県南房総市日比谷公園32丁目16番7号 下宇和田コーポ289	08 Nov 2024	1143	chiyoishii@yahoo.com		小川 明美		kazuyayamashita	田中食品有限会社	B-	332-17-7044	672
(Decimal('-20.113167'), Decimal('-55.396643'))	埼玉県国分寺市東大和町37丁目11番3号 シャルム柿木沢新田643	08/31/2019, 00:00:00	1260	mituru18@hotmail.com		中村 知実		suzukikumiko	高橋水産株式会社	AB-	857-50-8207	347
(Decimal('-52.6573365'), Decimal('-82.286183'))	"Contrada Stefano, 2
39030, Braies (BZ)"	08 Mar 2024	1561	panfilogarobbio@libero.it		Sig.ra Vittoria Tebaldi		toniaeinaudi	Spanevello, Sanguineti e Brunello e figli	A-	SCDMRT45R18D888V	226
	"Borgo Fiorenzo, 117
23021, Campodolcino (SO)"	02/23/2022, 00:00:00	1333	nicocarfagna@live.com		Stella Zanichelli		boldugiorgio	Persico, Tamburello e Ariasso e figli	A+	BLDGNN51M02C466W	668
(Decimal('42.884996'), Decimal('-168.605193'))		2025/01/09	1301	trankaren@hotmail.com		Alexis Valencia		robert38	Swanson and Sons	A+	133-63-9379	656
(Decimal('70.160778'), Decimal('-137.005052'))	"Jardim Novais, 92
Minaslandia
70412702 Campos / AM"	2024-06-22	157	caldeirastephany@ig.com.br		Alícia Ramos		siqueirajuliana	Teixeira	B-	49625701370	700
(Decimal('69.2646255'), Decimal('-157.916587'))	"Via Martino, 415 Appartamento 7
23848, Oggiono (LC)"	2020-06-06	1441	bignardifabrizia@outlook.com		Sig.ra Alessandra Cattaneo	Best boy	guarinopolani	Tamburini s.r.l.	O-	VSPLCZ92C04E100K	605
(Decimal('7.871946'), Decimal('-147.106035'))	"3740 Margaret Ranch
Port Susan, LA 01288"	04/07/2022, 00:00:00	129	gillespielisa@yahoo.com		Natasha Foster	Physiological scientist	danielcooley	Rodriguez, Evans and Jackson	A-	080-22-2916	625
	"Häringstr. 2204
97692 Witzenhausen"	2020/04/26	1691	insastaude@googlemail.com		Felix Drewes		ulangern	Ullmann OHG mbH	B+	250-07-7209	580
(Decimal('1.8124475'), Decimal('74.877733'))	"Pergandeplatz 80/44
00511 Recklinghausen"	2022/10/23	1886	beckmanncarola@aol.de		Prof. Yvette Mende B.Eng.		margrafmichelle	Plath	B-	120-08-2791	491
(Decimal('29.015323'), Decimal('90.442843'))	"66856 Jeremy Passage
North Rebekah, AZ 03498"	2022/02/12	1674	zacharywilson@gmail.com		Patricia Brown		ronaldjames	Calhoun-Jackson	B-	652-52-6726	507
(Decimal('-50.821610'), Decimal('34.260227'))	"270 Roman Union Apt. 593
Jacobfurt, MH 16422"	15 May 2024	1313	marco35@yahoo.com		Christina Smith		alindsey	Wade PLC	O+	365-55-9526	145
(Decimal('57.417789'), Decimal('87.566011'))	"USNS Rasmussen
FPO AE 92835"	2023-02-19	1588	collinskimberly@yahoo.com		Sheila Medina	Bookseller	aarias	Price Group	A-	663-47-4405	402
(Decimal('-86.1314885'), Decimal('-176.485513'))	"Karzallee 14/56
58702 Dieburg"	07/29/2020, 00:00:00	1192	gotthardzoltan@hotmail.de		Dipl.-Ing. Natalie Bien		selimschuster	Schleich GmbH	B-	482-48-6547	74
(Decimal('2.5122395'), Decimal('50.509133'))	"Etzlerallee 8
40894 Schwarzenberg"	27 Jul 2022	468	hugo65@web.de		Frau Wenke Jüttner MBA.	Forstwirt	katyullrich	Karz Heser GmbH & Co. KGaA	AB+	928-68-4388	289
(Decimal('51.189736'), Decimal('-144.816980'))	"Keudelring 3/7
35156 Wolfach"	2020-09-03	43	marianschenk@googlemail.com		Hedi Rädel-Carsten		mosemanningetraut	Hentschel Bähr AG & Co. KGaA	B-	925-54-3013	350
(Decimal('46.3404635'), Decimal('-159.452264'))	岡山県稲城市虎ノ門虎ノ門ヒルズ森タワー36丁目27番8号 山中新田シティ085	2022-06-19	1352	yoko82@hotmail.com		伊藤 稔		inakagawa	合同会社藤井建設	B+	440-73-1224	145
(Decimal('-80.437436'), Decimal('86.921454'))		05/25/2020, 00:00:00	1868	tomoyakobayashi@gmail.com		林 淳		satonaoki	合同会社藤井ガス	B+	478-72-3700	90
(Decimal('9.768876'), Decimal('144.215028'))	"Colônia Novais, 95
Barroca
49136533 Azevedo da Serra / RO"	24 Nov 2024	1350	portoeduardo@yahoo.com.br		Maysa Lima		joao-lucas82	da Conceição Ltda.	O+	72165349800	568
(Decimal('-35.303410'), Decimal('-93.329954'))	"Recanto Moura, 5
Cônego Pinheiro 1ª Seção
67813267 Sales / MS"	10 Aug 2025	310	tda-luz@hotmail.com		Beatriz Moura	Dentista	cavalcantefrancisco	Novais Melo - ME	AB-	90163785295	324
(Decimal('-9.9779045'), Decimal('40.290881'))	富山県横浜市神奈川区睦15丁目8番4号 コート西関宿111	05/27/2023, 00:00:00	1490	gokada@hotmail.com		渡辺 七夏	モデル	nakamurakazuya	合同会社伊藤保険	A+	667-01-5537	283
(Decimal('-46.7495135'), Decimal('114.481217'))	"Sontagallee 5
11342 Gifhorn"	2022-07-29	549	ringgesche@googlemail.com		Ing. Niklas Seifert		eharloff	Gutknecht	A-	380-42-1726	719
(Decimal('71.2736665'), Decimal('14.058042'))	"Travessa Caroline da Costa, 10
Mirtes
61415-689 Gomes de Cardoso / AC"	03/13/2023, 00:00:00	1942	oliverda-mota@uol.com.br		Sr. Theodoro da Mota		hadassa86	Sampaio Garcia - EI	AB-	83751240950	651
(Decimal('78.632616'), Decimal('93.858966'))	岩手県日野市浅草37丁目2番6号 土沢アーバン531	03/21/2019, 00:00:00	168	fshimizu@gmail.com		鈴木 智也		zwatanabe	加藤農林株式会社	B-	838-79-6852	82
(Decimal('38.652960'), Decimal('-169.467053'))	福井県横浜市磯子区東大和町29丁目27番3号	2025-08-17	1420	suzukikumiko@yahoo.com		石井 結衣	営業	yukinakamura	合同会社山下通信	B-	045-37-0473	401
(Decimal('-3.201427'), Decimal('44.241530'))	兵庫県印旛郡本埜村今戸21丁目12番18号	11 Jun 2022	83	chiyo61@hotmail.com		高橋 七夏		mtakahashi	株式会社伊藤運輸	O-	792-59-2023	663
(Decimal('-83.3982625'), Decimal('108.039201'))	"Stretto Filippo, 56
87069, San Demetrio Corone (CS)"	01/06/2021, 00:00:00	979	panfiloargurio@tele2.it		Loredana Turchi	Media buyer	aloisiofranco	Ferraris-Pedrazzini Group	B+	MDCLLL49E17A771R	254
(Decimal('-71.2143295'), Decimal('177.117800'))	"Kruschwitzplatz 83
81486 Amberg"	2022/01/31	756	wernerantonia@gmail.com		Samira Ziegert		igordoering	Noack GbR	AB+	913-07-7613	493
(Decimal('-30.7690825'), Decimal('-86.027440'))	"Canale Leonardo, 913
44035, Brazzolo (FE)"	2019-07-19	119	btutino@libero.it		Ivo Detti	Child psychotherapist	bernettifulvio	Grisoni, Bianchi e Casadei Group	AB-	LTRFBZ95T29D236U	260
(Decimal('59.3473255'), Decimal('-87.236420'))	"53063 Lewis Field
Kinghaven, MI 05774"	2020/12/02	1556	lindsaydaniel@yahoo.com		Heather Barton	Pharmacologist	usimpson	Diaz LLC	O+	648-69-7988	413
(Decimal('-29.615971'), Decimal('125.228372'))	"Rupert-Holzapfel-Platz 416
50239 Sondershausen"	03/02/2024, 00:00:00	796	heintzemaximilian@aol.de		Helen Mielcarek		strohlutz	Hermighausen GbR	AB+	989-26-1950	455
(Decimal('-85.212663'), Decimal('115.529593'))	"381 Davis Fields
Contrerasland, FL 51690"	2019/04/25	2087	parkerkaitlyn@hotmail.com		Jennifer Allen	Medical technical officer	brittany87	Williams LLC	O-	833-26-1919	274
	"Borgo Sole, 84
02033, Monteleone Sabino (RI)"	2022-04-06	475	vzanichelli@vodafone.it		Mirco Balla		luigiromano	Petruzzi s.r.l.	A-	NSTFBZ36R18C613S	123
(Decimal('-4.394626'), Decimal('108.925313'))	"1723 Jason Knoll Suite 571
East Ronald, UT 84032"	2022/04/12	1689	thomasgonzales@yahoo.com		Erin Butler		timothy41	Foley-Jones	AB+	600-05-7972	189
(Decimal('-85.765044'), Decimal('-177.136180'))		11/18/2023, 00:00:00	1678	gmarques@gmail.com		Dr. Vitor Gabriel Cardoso		hcasa-grande	Sales	AB+	09372615803	221
(Decimal('10.1304355'), Decimal('81.879315'))	"Vale Lorena Barbosa, 13
Embaúbas
74172-183 da Rosa de Guerra / RN"	2024/02/12	918	raelsampaio@uol.com.br		Sr. Calebe Vasconcelos		rferreira	da Mota	AB+	26153849024	145
(Decimal('-37.4287045'), Decimal('-128.243198'))	"Weitzelweg 7374
51804 Luckau"	02/11/2022, 00:00:00	205	ronaldstaude@gmx.de		Dr. Wera Gehringer		sveahoefig	Kensy AG	O+	933-34-4734	658
(Decimal('-61.114652'), Decimal('-34.149850'))		26 Apr 2024	1235	gionata05@outlook.com		Sig. Fulvio Tarchetti	Estate manager/land agent	efagotto	Borromeo e figli	A-	MTAGRL27M21B989Q	455
(Decimal('55.251167'), Decimal('-16.610053'))		2023-04-08	234	livia52@fastwebnet.it		Dante Offredi		gaspare62	Travaglio-Pausini s.r.l.	B+	MNTGNR86L46A093X	715
(Decimal('-60.8334615'), Decimal('155.991761'))		2018/11/25	253	dnordio@yahoo.com		Matteo Prodi	Scientific laboratory technician	mcendron	Saraceno-Pastine Group	A-	ZCCNDD91A01G107V	48
(Decimal('-16.429729'), Decimal('56.714019'))	長野県青梅市外神田13丁目20番10号	10 Feb 2024	600	harukasaito@gmail.com		阿部 舞		hidekikimura	合同会社青木印刷	O+	582-27-8202	685
(Decimal('-57.5443965'), Decimal('45.864237'))	京都府府中市二つ室1丁目13番20号	19 Dec 2023	41	atsushihayashi@hotmail.com		佐藤 太一		katojun	合同会社渡辺情報	O+	276-59-8446	212
(Decimal('-59.3763335'), Decimal('-57.157739'))	"Stretto Romeo, 6
00164, Roma (RM)"	24 Sep 2023	27	ypetrucelli@libero.it		Dino Correr		magnanilucrezia	Boldù-Bruno SPA	A+	MCHSLV34B23C905G	306
(Decimal('59.6831245'), Decimal('171.054341'))	"Hannes-Höfig-Platz 64/69
12004 Altentreptow"	10/27/2018, 00:00:00	870	wgehringer@googlemail.com		Konstantinos Kreusel	Binnenschiffer	bonbachedgar	Schuster Kroker GmbH & Co. KG	AB-	472-30-1174	568
(Decimal('66.805274'), Decimal('-105.680715'))	"Piazza Paride, 98 Appartamento 6
46037, Governolo (MN)"	2024-09-06	1717	giannuzzinanni@poste.it		Saverio Miniati		paola56	Vitturi e figli	AB+	PLMGNI00B48D151U	449
(Decimal('-44.034997'), Decimal('74.169383'))	"Morro Aragão, 75
Conjunto Taquaril
88416-507 Santos Alegre / PE"	2021-03-29	893	lcardoso@yahoo.com.br		Gabrielly Moraes	Gerente de banco	caleb61	Cassiano	A+	24736180978	398
